dma,2015+diarrhea,2015+obesity,2015+diabetes,2015+cancer,2015+depression,2016+diarrhea,2016+obesity,2016+diabetes,2016+cancer,2016+depression,2017+diarrhea,2017+obesity,2017+diabetes,2017+cancer,2017+depression
Wilkes Barre-Scranton PA,84,54,74,74,76,89,44,78,71,67,83,50,75,73,72
Terre Haute IN,80,74,76,66,73,86,62,79,63,73,79,54,73,63,73
Lafayette IN,52,95,72,61,69,68,71,84,60,69,61,82,78,62,70
Alpena MI,95,0,62,67,85,90,0,79,78,74,95,0,78,82,85
Charlottesville VA,62,68,74,73,68,72,70,82,72,66,66,77,82,75,66
South Bend-Elkhart IN,69,60,68,63,68,69,54,80,66,63,74,53,71,65,67
Gainesville FL,66,99,85,72,65,64,93,95,77,69,67,94,92,74,60
Zanesville OH,83,53,48,73,67,86,48,75,78,68,90,42,83,68,82
Parkersburg WV,93,38,100,76,77,84,35,93,78,65,98,50,89,81,62
Clarksburg-Weston WV,88,58,83,70,83,93,50,76,76,69,88,44,97,76,68
Corpus Christi TX,75,61,80,61,68,76,49,89,63,54,81,42,82,57,60
Chicago IL,63,46,64,63,57,65,45,73,64,54,66,49,71,65,59
Joplin MO-Pittsburg KS,70,56,68,67,68,71,50,80,64,71,82,52,70,62,65
Columbia-Jefferson City MO,73,87,75,67,62,68,100,90,68,67,81,86,90,64,65
Topeka KS,71,75,69,57,64,76,65,73,62,63,77,61,73,65,71
Dothan AL,75,41,74,71,63,91,40,72,64,65,78,50,79,63,66
St. Louis MO,70,50,70,67,62,74,44,78,68,60,72,48,75,69,61
Rockford IL,75,52,68,66,73,78,46,78,71,64,76,37,73,65,65
Rochester MN-Mason City IA-Austin MN,76,100,95,100,75,75,87,99,100,67,87,100,100,100,72
Shreveport LA,74,62,83,66,63,82,44,85,68,57,79,38,84,65,65
Minneapolis-St. Paul MN,64,56,69,62,66,67,51,77,61,61,66,53,75,62,66
Kansas City MO,66,55,75,68,65,69,49,83,67,61,71,50,79,66,65
Milwaukee WI,64,55,71,65,65,68,51,74,65,61,68,56,74,64,62
Houston TX,61,40,67,62,50,65,41,75,61,48,61,44,74,61,53
Springfield MO,79,58,74,66,72,80,55,76,65,65,80,45,77,64,66
