dma,2016+diarrhea,2016+obesity,2016+diabetes,2016+cancer,2016+depression
Portland-Auburn ME,69,49,81,69,64
New York NY,57,49,77,68,53
Binghamton NY,79,70,74,74,66
Macon GA,66,51,78,63,56
Philadelphia PA,70,52,80,74,59
Detroit MI,71,43,73,66,58
Boston MA-Manchester NH,63,53,76,68,57
Savannah GA,71,46,70,65,57
Pittsburgh PA,78,50,79,74,62
Ft. Wayne IN,77,55,84,64,64
Cleveland-Akron (Canton) OH,76,48,77,69,61
Washington DC (Hagerstown MD),59,53,77,63,52
Baltimore MD,67,61,86,71,59
Flint-Saginaw-Bay City MI,80,57,77,70,65
Buffalo NY,76,50,78,71,61
Cincinnati OH,73,46,76,66,57
Erie PA,78,46,80,74,70
Charlotte NC,67,45,72,63,54
Greensboro-High Point-Winston Salem NC,66,59,80,66,58
Charleston SC,74,47,76,66,58
Augusta GA,74,55,79,66,57
Providence RI-New Bedford MA,69,55,77,69,62
Columbus GA,72,68,80,69,60
Burlington VT-Plattsburgh NY,70,68,72,66,67
Atlanta GA,68,43,73,66,52
Albany GA,68,56,79,63,59
Utica NY,74,64,83,73,68
Indianapolis IN,72,54,85,68,62
Miami-Ft. Lauderdale FL,51,43,70,62,44
Louisville KY,80,46,84,70,60
Tallahassee FL-Thomasville GA,68,60,83,66,67
Tri-Cities TN-VA,88,51,84,76,67
Albany-Schenectady-Troy NY,75,45,73,71,61
Hartford & New Haven CT,66,58,80,73,63
Orlando-Daytona Beach-Melbourne FL,64,42,72,62,51
Columbus OH,74,50,76,69,59
Youngstown OH,90,46,73,72,68
Bangor ME,77,53,92,72,65
Rochester NY,68,52,74,70,58
Tampa-St. Petersburg (Sarasota) FL,64,41,72,72,55
Traverse City-Cadillac MI,74,52,69,66,65
Lexington KY,90,66,87,74,66
Dayton OH,76,44,83,66,60
Springfield-Holyoke MA,70,73,78,71,70
Norfolk-Portsmouth-Newport News VA,69,49,78,64,56
Greenville-New Bern-Washington NC,74,58,78,65,60
Columbia SC,69,75,83,66,66
Toledo OH,76,54,80,67,67
West Palm Beach-Ft. Pierce FL,61,47,73,70,51
Watertown NY,77,61,76,70,69
Wilmington NC,67,51,74,64,61
Lansing MI,68,55,76,63,66
Presque Isle ME,69,91,78,74,100
Marquette MI,74,51,75,64,73
Wheeling WV-Steubenville OH,100,53,76,76,63
Syracuse NY,72,74,80,68,67
Richmond-Petersburg VA,68,57,84,67,62
Knoxville TN,84,41,73,67,58
Lima OH,76,49,72,69,65
Bluefield-Beckley-Oak Hill WV,97,57,80,78,74
Raleigh-Durham (Fayetteville) NC,62,58,78,64,58
Jacksonville FL,72,43,78,65,55
Grand Rapids-Kalamazoo-Battle Creek MI,71,48,70,64,64
Charleston-Huntington WV,87,54,89,80,70
Elmira NY,87,49,83,69,67
Harrisburg-Lancaster-Lebanon-York PA,77,47,76,69,64
Greenville-Spartanburg SC-Asheville NC-Anderson SC,72,44,76,68,60
Harrisonburg VA,78,71,80,67,71
Florence-Myrtle Beach SC,65,42,71,63,55
Ft. Myers-Naples FL,63,37,72,75,48
Roanoke-Lynchburg VA,78,54,83,66,63
Johnstown-Altoona PA,81,72,77,70,68
Chattanooga TN,75,36,75,68,61
Salisbury MD,75,49,77,68,52
Wilkes Barre-Scranton PA,89,44,78,71,67
Terre Haute IN,86,62,79,63,73
Lafayette IN,68,71,84,60,69
Alpena MI,90,0,79,78,74
Charlottesville VA,72,70,82,72,66
South Bend-Elkhart IN,69,54,80,66,63
Gainesville FL,64,93,95,77,69
Zanesville OH,86,48,75,78,68
Parkersburg WV,84,35,93,78,65
Clarksburg-Weston WV,93,50,76,76,69
Corpus Christi TX,76,49,89,63,54
Chicago IL,65,45,73,64,54
Joplin MO-Pittsburg KS,71,50,80,64,71
Columbia-Jefferson City MO,68,100,90,68,67
Topeka KS,76,65,73,62,63
Dothan AL,91,40,72,64,65
St. Louis MO,74,44,78,68,60
Rockford IL,78,46,78,71,64
Rochester MN-Mason City IA-Austin MN,75,87,99,100,67
Shreveport LA,82,44,85,68,57
Minneapolis-St. Paul MN,67,51,77,61,61
Kansas City MO,69,49,83,67,61
Milwaukee WI,68,51,74,65,61
Houston TX,65,41,75,61,48
Springfield MO,80,55,76,65,65
New Orleans LA,73,55,75,63,52
Dallas-Ft. Worth TX,68,37,71,57,51
Sioux City IA,68,51,73,63,60
Waco-Temple-Bryan TX,79,81,77,55,63
Victoria TX,66,0,87,65,58
Wichita Falls TX & Lawton OK,82,48,84,61,66
Monroe LA-El Dorado AR,74,54,89,66,58
Birmingham AL,77,49,81,71,61
Ottumwa IA-Kirksville MO,66,71,96,67,73
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,83,54,79,69,68
Odessa-Midland TX,79,35,76,54,51
Amarillo TX,88,35,83,61,54
Austin TX,63,40,73,56,50
Harlingen-Weslaco-Brownsville-McAllen TX,58,50,94,56,49
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,75,69,84,67,68
St. Joseph MO,70,58,69,64,64
Jackson TN,79,52,88,77,62
Memphis TN,69,57,82,68,55
San Antonio TX,69,43,83,58,52
Lafayette LA,73,38,67,62,55
Lake Charles LA,73,33,74,61,56
Alexandria LA,79,54,79,61,58
Greenwood-Greenville MS,65,85,100,73,59
Champaign & Springfield-Decatur IL,70,75,77,65,64
Evansville IN,81,49,83,68,70
Oklahoma City OK,79,51,80,63,59
Lubbock TX,71,60,79,57,64
Omaha NE,72,49,78,65,57
Panama City FL,77,31,64,63,56
Sherman TX-Ada OK,79,41,81,63,68
Green Bay-Appleton WI,70,50,69,61,62
Nashville TN,77,49,79,68,55
San Angelo TX,75,50,79,59,61
Abilene-Sweetwater TX,77,48,80,61,65
Madison WI,70,53,72,63,57
Ft. Smith-Fayetteville-Springdale-Rogers AR,77,45,75,58,63
Tulsa OK,64,37,69,57,50
Columbus-Tupelo-West Point MS,72,66,86,69,69
Peoria-Bloomington IL,73,55,81,70,67
Duluth MN-Superior WI,73,68,82,65,72
Wichita-Hutchinson KS,75,43,80,63,60
Des Moines-Ames IA,73,60,77,60,62
Davenport IA-Rock Island-Moline IL,76,50,78,66,67
Mobile AL-Pensacola (Ft. Walton Beach) FL,73,40,73,68,59
Minot-Bismarck-Dickinson(Williston) ND,77,34,71,60,61
Huntsville-Decatur (Florence) AL,77,38,80,70,62
Beaumont-Port Arthur TX,76,26,75,61,52
Little Rock-Pine Bluff AR,74,56,81,65,64
Montgomery (Selma) AL,75,46,79,72,56
La Crosse-Eau Claire WI,76,68,78,60,68
Wausau-Rhinelander WI,75,52,76,65,65
Tyler-Longview(Lufkin & Nacogdoches) TX,77,51,86,62,64
Hattiesburg-Laurel MS,75,47,82,68,64
Meridian MS,69,60,78,73,62
Baton Rouge LA,69,58,68,57,56
Quincy IL-Hannibal MO-Keokuk IA,82,48,75,71,73
Jackson MS,74,65,90,74,62
Lincoln & Hastings-Kearney NE,73,68,79,63,66
Fargo-Valley City ND,76,67,81,63,65
Sioux Falls(Mitchell) SD,76,68,89,66,68
Jonesboro AR,87,48,82,71,72
Bowling Green KY,71,58,74,69,58
Mankato MN,78,99,74,59,74
North Platte NE,67,0,72,64,69
Anchorage AK,65,45,88,53,55
Honolulu HI,65,55,79,59,50
Fairbanks AK,75,61,66,47,56
Biloxi-Gulfport MS,74,47,88,62,56
Juneau AK,61,0,70,55,55
Laredo TX,52,34,81,54,46
Denver CO,65,46,67,57,54
Colorado Springs-Pueblo CO,79,36,70,58,62
Phoenix AZ,76,50,80,63,55
Butte-Bozeman MT,85,61,69,55,59
Great Falls MT,89,43,74,62,66
"Billings, MT",71,50,83,58,58
Boise ID,72,50,73,56,60
Idaho Falls-Pocatello ID,71,68,88,54,76
Cheyenne WY-Scottsbluff NE,94,48,71,64,59
Twin Falls ID,74,54,73,50,58
Missoula MT,70,51,78,59,57
Rapid City SD,69,46,78,59,63
El Paso TX,68,58,94,61,59
Helena MT,70,64,97,60,68
Casper-Riverton WY,81,47,87,54,62
Salt Lake City UT,71,52,79,55,64
Yuma AZ-El Centro CA,69,55,75,55,58
Grand Junction-Montrose CO,70,54,76,62,64
Tucson (Sierra Vista) AZ,76,60,83,67,62
Albuquerque-Santa Fe NM,70,47,83,61,61
Glendive MT,0,0,0,63,0
Bakersfield CA,75,52,79,60,56
Eugene OR,66,75,78,59,63
Eureka CA,56,46,64,55,62
Los Angeles CA,62,49,73,58,53
Palm Springs CA,59,38,76,68,50
San Francisco-Oakland-San Jose CA,50,45,68,56,48
Yakima-Pasco-Richland-Kennewick WA,73,50,82,58,62
Reno NV,75,47,70,60,53
Medford-Klamath Falls OR,77,52,77,62,56
Seattle-Tacoma WA,63,43,72,58,53
Portland OR,59,53,75,56,54
Bend OR,63,41,61,66,57
San Diego CA,64,52,77,61,53
Monterey-Salinas CA,53,64,70,53,58
Las Vegas NV,65,38,69,59,48
Santa Barbara-Santa Maria-San Luis Obispo CA,54,54,63,57,55
Sacramento-Stockton-Modesto CA,65,48,75,58,54
Fresno-Visalia CA,73,64,81,55,61
Chico-Redding CA,74,63,75,59,59
Spokane WA,69,52,79,62,63
