dma,2015+diarrhea,2015+obesity,2015+diabetes,2015+cancer,2015+depression
Beaumont-Port Arthur TX,68,56,70,65,67
Little Rock-Pine Bluff AR,74,61,77,67,74
Montgomery (Selma) AL,72,55,83,80,67
La Crosse-Eau Claire WI,75,80,73,67,78
Wausau-Rhinelander WI,75,68,69,66,69
Tyler-Longview(Lufkin & Nacogdoches) TX,74,55,80,61,70
Hattiesburg-Laurel MS,80,69,74,63,73
Meridian MS,67,72,80,68,63
Baton Rouge LA,72,58,70,62,64
Quincy IL-Hannibal MO-Keokuk IA,73,83,90,71,87
Jackson MS,71,69,79,72,61
Lincoln & Hastings-Kearney NE,71,66,70,61,75
Fargo-Valley City ND,75,59,78,63,75
Sioux Falls(Mitchell) SD,75,68,89,72,75
Jonesboro AR,78,60,73,67,100
Bowling Green KY,78,41,64,64,56
Mankato MN,63,96,64,57,72
North Platte NE,64,0,79,71,76
Anchorage AK,62,48,72,54,56
Honolulu HI,65,55,65,59,56
Fairbanks AK,69,56,73,49,77
Biloxi-Gulfport MS,79,56,74,64,62
Juneau AK,76,0,70,49,66
Laredo TX,50,49,74,59,61
Denver CO,62,52,60,57,59
Colorado Springs-Pueblo CO,69,49,69,58,67
Phoenix AZ,67,56,72,63,59
Butte-Bozeman MT,74,53,66,59,64
Great Falls MT,61,42,65,57,79
"Billings, MT",74,58,70,63,67
Boise ID,68,60,70,56,67
Idaho Falls-Pocatello ID,73,88,90,54,80
Cheyenne WY-Scottsbluff NE,77,60,69,63,65
Twin Falls ID,59,67,69,56,83
Missoula MT,62,59,73,61,67
Rapid City SD,73,52,67,56,76
El Paso TX,52,59,77,50,53
Helena MT,83,50,90,63,61
Casper-Riverton WY,63,58,71,58,71
Salt Lake City UT,67,58,72,54,67
Yuma AZ-El Centro CA,64,72,72,58,65
Grand Junction-Montrose CO,65,53,75,63,71
Tucson (Sierra Vista) AZ,68,62,77,66,68
Albuquerque-Santa Fe NM,67,53,76,62,64
Glendive MT,0,0,0,72,0
Bakersfield CA,67,60,75,58,60
Eugene OR,66,70,70,59,66
Eureka CA,59,51,60,59,74
Los Angeles CA,58,52,63,57,55
Palm Springs CA,59,43,64,69,58
San Francisco-Oakland-San Jose CA,53,43,61,57,50
Yakima-Pasco-Richland-Kennewick WA,70,57,83,61,62
Reno NV,69,57,65,57,57
Medford-Klamath Falls OR,68,62,71,60,63
Seattle-Tacoma WA,61,45,64,57,57
Portland OR,44,42,57,46,45
Bend OR,63,54,62,67,59
San Diego CA,60,57,68,60,54
Monterey-Salinas CA,51,72,56,55,62
Las Vegas NV,65,43,70,58,53
Santa Barbara-Santa Maria-San Luis Obispo CA,57,56,57,57,63
Sacramento-Stockton-Modesto CA,62,58,73,61,61
Fresno-Visalia CA,67,58,65,61,64
Chico-Redding CA,67,60,66,62,67
Spokane WA,70,66,68,61,67
