dma,2017+diarrhea,2017+obesity,2017+diabetes,2017+cancer,2017+depression
Portland-Auburn ME,66,47,80,70,64
New York NY,56,52,78,70,56
Binghamton NY,78,61,72,68,69
Macon GA,53,41,66,53,46
Philadelphia PA,69,56,78,75,62
Detroit MI,70,45,74,69,61
Boston MA-Manchester NH,58,58,74,70,62
Savannah GA,70,44,74,63,60
Pittsburgh PA,79,52,79,73,65
Ft. Wayne IN,73,49,81,66,69
Cleveland-Akron (Canton) OH,73,51,75,70,64
Washington DC (Hagerstown MD),55,59,73,63,54
Baltimore MD,66,67,85,68,60
Flint-Saginaw-Bay City MI,76,63,76,69,72
Buffalo NY,74,52,76,72,66
Cincinnati OH,74,49,74,65,62
Erie PA,75,57,83,69,72
Charlotte NC,65,47,71,61,56
Greensboro-High Point-Winston Salem NC,69,52,80,68,60
Charleston SC,69,45,75,67,58
Augusta GA,69,61,79,68,61
Providence RI-New Bedford MA,68,48,74,65,63
Columbus GA,68,62,83,65,61
Burlington VT-Plattsburgh NY,68,59,68,68,72
Atlanta GA,65,48,72,64,54
Albany GA,73,47,81,63,62
Utica NY,81,58,80,68,66
Indianapolis IN,74,58,82,69,66
Miami-Ft. Lauderdale FL,46,49,70,61,45
Louisville KY,77,52,82,72,61
Tallahassee FL-Thomasville GA,68,54,80,63,60
Tri-Cities TN-VA,89,50,84,75,67
Albany-Schenectady-Troy NY,72,48,74,67,65
Hartford & New Haven CT,65,62,84,72,65
Orlando-Daytona Beach-Melbourne FL,65,41,73,63,51
Columbus OH,76,49,76,69,61
Youngstown OH,84,45,80,73,71
Bangor ME,67,78,87,70,72
Rochester NY,72,58,72,69,61
Tampa-St. Petersburg (Sarasota) FL,69,45,77,73,53
Traverse City-Cadillac MI,75,48,68,69,66
Lexington KY,91,67,87,73,69
Dayton OH,80,49,83,65,63
Springfield-Holyoke MA,72,72,75,70,73
Norfolk-Portsmouth-Newport News VA,69,52,80,64,59
Greenville-New Bern-Washington NC,74,58,78,64,62
Columbia SC,69,73,83,63,69
Toledo OH,80,57,81,68,71
West Palm Beach-Ft. Pierce FL,65,49,74,70,54
Watertown NY,87,46,75,70,70
Wilmington NC,67,54,75,70,58
Lansing MI,69,63,78,62,71
Presque Isle ME,75,58,77,81,100
Marquette MI,75,43,67,69,68
Wheeling WV-Steubenville OH,100,43,85,72,73
Syracuse NY,72,62,82,69,62
Richmond-Petersburg VA,63,56,82,66,67
Knoxville TN,85,41,74,67,60
Lima OH,94,37,73,70,74
Bluefield-Beckley-Oak Hill WV,90,61,79,84,82
Raleigh-Durham (Fayetteville) NC,65,58,79,65,61
Jacksonville FL,70,47,76,65,55
Grand Rapids-Kalamazoo-Battle Creek MI,72,51,72,63,69
Charleston-Huntington WV,94,58,92,81,74
Elmira NY,83,43,68,65,72
Harrisburg-Lancaster-Lebanon-York PA,77,45,73,67,65
Greenville-Spartanburg SC-Asheville NC-Anderson SC,72,48,73,66,63
Harrisonburg VA,69,69,74,67,71
Florence-Myrtle Beach SC,69,42,73,61,58
Ft. Myers-Naples FL,64,42,71,76,50
Roanoke-Lynchburg VA,76,62,80,66,66
Johnstown-Altoona PA,82,65,72,70,72
Chattanooga TN,82,49,74,67,60
