dma,2017+diarrhea,2017+obesity,2017+diabetes,2017+cancer,2017+depression
Salisbury MD,79,39,72,70,58
Wilkes Barre-Scranton PA,83,50,75,73,72
Terre Haute IN,79,54,73,63,73
Lafayette IN,61,82,78,62,70
Alpena MI,95,0,78,82,85
Charlottesville VA,66,77,82,75,66
South Bend-Elkhart IN,74,53,71,65,67
Gainesville FL,67,94,92,74,60
Zanesville OH,90,42,83,68,82
Parkersburg WV,98,50,89,81,62
Clarksburg-Weston WV,88,44,97,76,68
Corpus Christi TX,81,42,82,57,60
Chicago IL,66,49,71,65,59
Joplin MO-Pittsburg KS,82,52,70,62,65
Columbia-Jefferson City MO,81,86,90,64,65
Topeka KS,77,61,73,65,71
Dothan AL,78,50,79,63,66
St. Louis MO,72,48,75,69,61
Rockford IL,76,37,73,65,65
Rochester MN-Mason City IA-Austin MN,87,100,100,100,72
Shreveport LA,79,38,84,65,65
Minneapolis-St. Paul MN,66,53,75,62,66
Kansas City MO,71,50,79,66,65
Milwaukee WI,68,56,74,64,62
Houston TX,61,44,74,61,53
Springfield MO,80,45,77,64,66
New Orleans LA,70,50,73,60,57
Dallas-Ft. Worth TX,61,39,69,55,52
Sioux City IA,68,60,76,64,76
Waco-Temple-Bryan TX,75,81,79,57,64
Victoria TX,76,0,84,63,58
Wichita Falls TX & Lawton OK,84,45,71,59,65
Monroe LA-El Dorado AR,81,45,89,66,56
Birmingham AL,70,49,81,68,61
Ottumwa IA-Kirksville MO,87,62,88,70,76
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,89,54,85,70,64
Odessa-Midland TX,77,32,79,51,53
Amarillo TX,84,38,73,58,62
Austin TX,63,43,73,57,54
Harlingen-Weslaco-Brownsville-McAllen TX,62,56,96,55,55
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,77,72,79,68,67
St. Joseph MO,72,52,84,67,68
Jackson TN,80,53,95,72,58
Memphis TN,65,49,84,67,54
San Antonio TX,71,44,90,58,57
Lafayette LA,72,41,65,61,63
Lake Charles LA,76,39,64,60,65
Alexandria LA,94,37,70,58,63
Greenwood-Greenville MS,68,86,100,67,49
Champaign & Springfield-Decatur IL,76,77,78,68,66
Evansville IN,83,51,75,66,71
Oklahoma City OK,77,49,76,62,61
Lubbock TX,75,66,78,59,64
Omaha NE,77,51,77,66,58
Panama City FL,71,29,65,64,50
Sherman TX-Ada OK,85,31,80,60,69
Green Bay-Appleton WI,74,51,63,63,64
Nashville TN,76,50,81,65,60
San Angelo TX,74,53,89,55,54
Abilene-Sweetwater TX,77,31,88,56,64
Madison WI,73,55,73,63,60
Ft. Smith-Fayetteville-Springdale-Rogers AR,78,47,80,59,61
Tulsa OK,59,52,80,60,57
Columbus-Tupelo-West Point MS,69,56,81,65,64
Peoria-Bloomington IL,72,53,81,73,68
Duluth MN-Superior WI,69,66,85,65,74
Wichita-Hutchinson KS,72,49,79,65,63
Des Moines-Ames IA,70,60,77,61,63
Davenport IA-Rock Island-Moline IL,79,51,78,64,68
Mobile AL-Pensacola (Ft. Walton Beach) FL,72,46,72,65,53
Minot-Bismarck-Dickinson(Williston) ND,81,47,76,63,58
Huntsville-Decatur (Florence) AL,86,37,77,70,65
Beaumont-Port Arthur TX,71,35,75,59,61
Little Rock-Pine Bluff AR,74,58,80,67,66
Montgomery (Selma) AL,73,52,77,68,59
La Crosse-Eau Claire WI,71,82,73,66,71
Wausau-Rhinelander WI,76,59,76,64,69
Tyler-Longview(Lufkin & Nacogdoches) TX,80,47,81,64,63
Hattiesburg-Laurel MS,86,51,84,65,61
Meridian MS,75,43,95,68,60
Baton Rouge LA,68,57,66,57,60
Quincy IL-Hannibal MO-Keokuk IA,91,67,79,68,72
Jackson MS,70,72,86,65,62
Lincoln & Hastings-Kearney NE,71,60,70,64,64
Fargo-Valley City ND,80,57,81,66,69
Sioux Falls(Mitchell) SD,75,61,87,72,71
Jonesboro AR,78,66,71,68,75
Bowling Green KY,97,52,75,67,62
Mankato MN,80,67,78,64,79
North Platte NE,80,0,56,67,35
Anchorage AK,67,50,81,57,59
Honolulu HI,63,51,80,59,54
Fairbanks AK,80,51,80,52,58
Biloxi-Gulfport MS,66,37,83,63,55
Juneau AK,70,0,97,58,59
Laredo TX,59,40,84,47,59
Denver CO,66,50,66,58,54
Colorado Springs-Pueblo CO,77,42,73,61,68
Phoenix AZ,70,50,78,64,59
Butte-Bozeman MT,66,61,69,62,70
Great Falls MT,92,40,80,60,53
"Billings, MT",65,36,81,65,71
Boise ID,68,54,81,58,58
Idaho Falls-Pocatello ID,65,71,95,57,74
Cheyenne WY-Scottsbluff NE,85,47,80,64,59
Twin Falls ID,75,47,69,49,65
Missoula MT,64,46,81,59,63
Rapid City SD,66,64,74,59,59
El Paso TX,66,53,82,59,67
Helena MT,69,46,93,67,64
Casper-Riverton WY,75,45,80,59,66
Salt Lake City UT,69,54,75,55,66
Yuma AZ-El Centro CA,71,48,80,57,60
Grand Junction-Montrose CO,66,56,72,57,61
Tucson (Sierra Vista) AZ,73,55,79,65,63
Albuquerque-Santa Fe NM,68,49,80,61,64
Glendive MT,0,0,0,58,0
Bakersfield CA,77,51,78,59,60
Eugene OR,65,86,79,61,59
Eureka CA,61,47,66,61,67
Los Angeles CA,61,53,74,59,58
Palm Springs CA,78,47,81,64,52
San Francisco-Oakland-San Jose CA,50,45,67,56,52
Yakima-Pasco-Richland-Kennewick WA,72,48,80,58,62
Reno NV,68,54,69,59,60
Medford-Klamath Falls OR,66,40,79,64,63
Seattle-Tacoma WA,63,46,71,57,56
Portland OR,59,58,73,56,58
Bend OR,55,50,61,60,59
San Diego CA,61,56,76,61,59
Monterey-Salinas CA,51,64,67,57,66
Las Vegas NV,65,42,70,59,52
Santa Barbara-Santa Maria-San Luis Obispo CA,56,53,63,53,59
Sacramento-Stockton-Modesto CA,66,55,76,59,55
Fresno-Visalia CA,73,63,77,56,68
Chico-Redding CA,70,62,75,58,63
Spokane WA,75,53,73,63,61
